#epoch	(Sim-Meas)	(Upperlim-	acc_sim	acc_meas	acc_ulim
1	7.47173577	4.18469607	0.88579828	0.79626968	0.84982753
2	7.57712274	4.45073954	0.88023959	0.79048688	0.84563294
3	7.16698914	4.03954386	0.88028343	0.79474725	0.84354051
4	7.76981860	4.69162799	0.88039549	0.78905458	0.84615909
5	7.63512700	4.69592623	0.88133817	0.79178277	0.84572063
6	5.16200438	2.78263203	0.87528743	0.81589806	0.84487781
7	7.74298757	3.59628610	0.88870917	0.80657835	0.84444422
8	6.89753293	3.59043031	0.88720379	0.81257064	0.84970330
9	6.56723752	3.22536863	0.88800763	0.81547421	0.85053638
10	7.01156631	3.28025370	0.88926212	0.81435858	0.84853164
11	8.04640427	3.05862780	0.89405594	0.80415952	0.84179641
12	8.23392793	3.83062474	0.89674029	0.80873655	0.85157407
13	7.27197006	3.69577184	0.89176377	0.81161090	0.85370547
14	7.94553682	3.63994091	0.89972425	0.81772254	0.85419995
15	8.07872340	3.85417342	0.89937592	0.81377396	0.85487956
16	9.02481675	4.69054318	0.89824323	0.80432516	0.85425354
17	8.65468233	4.02807071	0.90366308	0.81398589	0.85518892
18	9.67583507	4.91506122	0.90715858	0.80685117	0.85659199
19	10.0355893	4.90097999	0.90852999	0.80886078	0.85634110
20	9.31603386	4.58209291	0.90887345	0.80752835	0.85818994
21	9.92695689	4.92607466	0.91409842	0.81042705	0.86126890
22	11.8137776	6.45207837	0.91992263	0.80428131	0.86442094
23	13.6971935	8.37270319	0.91883135	0.78713997	0.86453542
24	12.9960745	7.21360668	0.92284813	0.79317366	0.86297158
25	13.0114212	7.54746869	0.92456543	0.79330033	0.86659375
26	13.0654469	7.11563080	0.92603184	0.79644993	0.86624298
27	15.4327556	9.50078293	0.92858952	0.77209106	0.86790425
28	16.0928905	9.90249440	0.93340527	0.77365977	0.86854489
29	17.4184903	10.9598480	0.93435526	0.76689775	0.86815028
30	18.1585624	11.6724953	0.93541488	0.75985072	0.86896143
31	19.9042245	12.9749149	0.93910768	0.75612625	0.87163603
32	20.6292286	13.6490866	0.94003819	0.75696663	0.87278334
33	25.0350087	17.6190257	0.94506830	0.73124366	0.87369192
34	23.0617210	15.7805591	0.94629111	0.74164003	0.87372359
35	26.7682522	18.9396709	0.94810341	0.72253780	0.87261283
36	25.7747858	17.2545701	0.94601586	0.73636877	0.87061783
37	29.3069273	21.1228325	0.95238814	0.71997037	0.87510717
38	25.7071733	17.8826063	0.95154045	0.73217417	0.87517051
39	29.0146291	21.0746750	0.95250750	0.71947102	0.87437641
40	34.4459503	26.0576993	0.95253429	0.69619855	0.87434961
41	30.6750178	22.2941711	0.95423698	0.71422655	0.87277116
42	32.9858183	24.7663468	0.95484595	0.71159092	0.87556999
43	33.0295860	24.4748726	0.95505300	0.70444403	0.87362859
44	32.8643739	24.6324449	0.95537697	0.70850465	0.87431795
45	27.6808679	19.4104984	0.95389595	0.72578727	0.87254706
